Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Dividend Yield,Sector,Industry,About
360ONE,1250.55,-3.59,52,06-Jan-25,Equity,"? 35,194 Cr.",76.3,27.60%,23.30%,1.82%,Finance,Finance & Investments,"IIFL Wealth Management Limited, founded in 2008, is one of the largest private wealth management firms in India. The company mainly acts as wealth manager and provides services relating to financial products distribution, advisory, portfolio management services by mobilizing funds and assets of various classes of investors including High Networth Individuals."
AARTECH,95.6,5,44,06-Jan-25,Equity,? 211 Cr.,45.2,2.05%,5.35%,0.38%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1982, Aartech Solonics Ltd is a manufacturer of Electrical Machinery and Apparatus N.E.C."
AIIL,1877,-3.65,44,06-Jan-25,Equity,"? 27,895 Cr.",7.01,44.00%,39.30%,0.00%,Finance,Finance & Investments,"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc."
ANYA,17.9,-4.79,44,06-Jan-25,SME,? 257 Cr.,34.1,22.70%,18.80%,0.00%,Packaging,Packaging,"Incorporated in 2011, Anya Polytech & Fertilizers Limited is engaged in the business of Fertilizers and bags manufacturing and also provides environmental solutions."
APARINDS,11177,2.07,44,06-Jan-25,Equity,"? 25,577 Cr.",32.5,28.40%,46.10%,0.80%,Capital Goods - Electrical Equipment,Electric Equipment,"Apar, founded by Mr. Dharmsinh D. Desai in 1958, is a market leader in India with a global presence. Contributing to India�s process of electrification it started from manufacturing power transmission cables to having three broad business segments, which are Conductors, Transformer and specialty oils (TSO), and Power/telecom Cables."
APRAMEYA,120,-0.87,66,06-Jan-25,SME,? 185 Cr.,53.4,16.00%,11.80%,0.00%,Healthcare,Healthcare,"Incorporated in September 2003, Aprameya Engineering Limited specializes in installing and maintaining Intensive Care Units (ICU), Neonatal Intensive Care Units (NICU), Pediatric Intensive Care Units (PICU), Operation Theatres, and prefabricated structure wards in hospitals and medical care centers."
ARIHANTSUP,528.15,-0.34,44,06-Jan-25,Equity,"? 1,688 Cr.",90.9,11.90%,7.43%,0.29%,Realty,Construction,"Incorporated in 1994, Arihant Superstructures Ltd is in the business of real estate
development[1]"
ATLASCYCLE,88.6,4.99,44,06-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
AVONMORE,24.96,6.62,44,06-Jan-25,Equity,? 641 Cr.,46.9,-0.07%,2.78%,0.00%,Finance,Finance & Investments,"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans
and advances to corporations, and sub-
broker advisory services"
AVPINFRA,251.75,4.98,44,06-Jan-25,SME,? 495 Cr.,20.8,31.00%,26.30%,0.00%,Infrastructure Developers & Operators,Construction,"Incorporated in 2009, AVP Infracon
Ltd is in the business of construction[1]"
BGLOBAL,4.94,4.88,48,06-Jan-25,Equity,? 6.67 Cr.,Book Value,-2.38%,-1.90%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Bharatiya Global Infomedia Ltd is into Information Technology & IT based products. Company deals in products/services around Digital/Electronic Security & Surveillance, Enterprise Process Automation, Embedded Computing Applications, Consulting and System Integration & Design."
BLUECOAST,20,4.99,44,06-Jan-25,Equity,? 47.0 Cr.,Book Value,%,-12.60%,0.00%,Hotels & Restaurants,Hotels,"Incorporated in 1992, Blue Coast Hotels
Limited is in the business of Hospitality."
BLUEJET,580,-3.16,44,06-Jan-25,Equity,"? 12,545 Cr.",53.4,22.40%,30.00%,0.14%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1968, Blue Jet Healthcare (earlier called Jet Chemicals Pvt Ltd) is a pharmaceutical and healthcare ingredient & intermediate company and the first manufacturer of saccharin and its salts (artificial sweeteners) in India."
BLUESTARCO,2231,-4.56,46,06-Jan-25,Equity,"? 40,375 Cr.",85.7,19.50%,23.60%,0.36%,Consumer Durables,Air-conditioners,"Blue star manufacturers air purifiers, air coolers, water purifiers, cold storage and speciality products. The Company offers turnkey solutions in MEP (Mechanical, Electrical, Plumbing, and Fire-fighting) Projects. It is the largest after-sales service provider for air conditioning and commercial refrigeration products in the country."
CELLECOR,73.5,1.8,44,06-Jan-25,SME,"? 1,232 Cr.",52,31.00%,29.20%,0.00%,Retail,Trading,"Incorporated in 2020, Cellecor GadgetsLtd is in the business of selling consumer electronic products[1]"
COROMANDEL,1941.95,-0.83,44,06-Jan-25,Equity,"? 51,624 Cr.",29.3,19.80%,27.10%,0.34%,Fertilizers,Fertilizers,"Coromandel International Ltd is one of India's leading agri solutions provider. It offers a diverse range of products and services across the farming value chain. It specializes in fertilizers, crop protein, bio pesticide, specialty nutrients, organic fertilizers, etc."
DECCANCE,710.15,-4.31,44,06-Jan-25,Equity,? 876 Cr.,50.8,7.08%,7.67%,0.48%,Cement,Cement - South India,"Incorporated in 1979, Deccan Cements Ltd manufactures and sells Cement and does generation and selling of power from hydel and wind sources[1]"
DGCONTENT,65.73,5,59,06-Jan-25,Equity,? 290 Cr.,Book Value,-30.20%,-1.10%,0.00%,Entertainment,Entertainment / Electronic Media Software,"Incorporated in 2017, Digicontent Ltd is engaged in Entertainment & Digital Innovation Business[1]"
DYNAMIC,356.2,-5,100,06-Jan-25,SME,? 334 Cr.,30.9,12.70%,17.10%,0.00%,Miscellaneous,Miscellaneous,"Incorporated in 2001, Dynamic Services and Security Ltd provides Mechanized Cleaning, Conservancy, Housekeeping, Catering,
Security & Man Power Supply, etc."
ENSER,175.5,5,44,06-Jan-25,SME,? 268 Cr.,33.2,34.70%,37.50%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2008, Enser Communications Limited offers Business Process Management (BPM) services to companies in the insurance, e-commerce, education, and travel sectors."
EPACK,607.15,-2.87,44,06-Jan-25,Equity,"? 3,550 Cr.",75.5,6.03%,8.45%,0.00%,Consumer Durables,Air-conditioners,"Incorporated in 2019, EPACK Durable Limited is an Original Design Manufacturer (ODM) of room air conditioners (RAC).[1]"
ESPRIT,136.35,-4.18,44,06-Jan-25,SME,? 260 Cr.,28.9,16.40%,14.80%,0.00%,Mining & Mineral products,Miscellaneous,"Founded in 2016, Esprit Stones Limited manufactures engineered quartz and marble surfaces.[1]"
FIDEL,200,-2.91,48,06-Jan-25,SME,? 202 Cr.,26.1,17.00%,22.70%,0.75%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2004, Fidel Softech Ltd
provides technology solutions & services
with local language delivery & support.
It specializes in Language Engineering,
Enterprise product services and Cloud Infrastructure services"
FRESHARA,195.35,-4.99,44,06-Jan-25,SME,? 406 Cr.,43.5,%,%,0.00%,FMCG,Food - Processing - Indian,"Established in 2015, Freshara Agro Exports procures, processes, and exports preserved Gherkins and other pickled goods from India to various countries worldwide."
HVAX,856,-9.29,44,06-Jan-25,SME,? 175 Cr.,15.2,36.80%,30.00%,0.00%,Engineering,Engineering - Turnkey Services,"Established in 2010, HVAX Technologies Limited provides turnkey engineering, procurement, and execution of controlled environment and cleanroom infrastructure, design, engineering, and consulting services to pharmaceutical and healthcare companies."
IGIL,587.55,-4.49,44,06-Jan-25,Equity,"? 19,547 Cr.",59.3,76.90%,105%,0.00%,Miscellaneous,Miscellaneous,"International Gemmological Institute Ltd is
world's largest independent certification and acccreditation services provider in the fields
of diamond, gemstone and jewelry"
INDOTECH,3290,-2.1,44,06-Jan-25,Equity,"? 2,245 Cr.",32.8,24.20%,34.50%,0.00%,Capital Goods - Electrical Equipment,Electric Equipment,"Indo Tech Transformers Ltd. is engaged in the business of manufacturing power and distribution transformers and various special application transformers, mobile substation transformers and substations."
INDOTHAI,1503.95,4.47,44,06-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
INNOVACAP,1199.8,1.42,44,06-Jan-25,Equity,"? 4,722 Cr.",51.3,14.00%,14.80%,0.00%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in January 2005, Innova Captab Ltd is a pharmaceutical company is an integrated pharmaceutical company in India with a presence across the pharmaceutical value chain."
IRIS,455,-1.73,67,06-Jan-25,Equity,? 777 Cr.,53.9,21.30%,23.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, IRIS Business Services
Ltd offers Regtech solutions to regulators and enterprises[1]"
ITI,548.5,20,44,06-Jan-25,Equity,"? 25,997 Cr.",Book Value,-27.80%,-8.43%,0.00%,Aerospace & Defence,Telecommunications - Equipment,"ITI Limited is engaged in manufacturing, trading and servicing of telecommunication equipment, and rendering other associated and ancillary services. The Company focuses on offering telephone communication services."
ITTL,24.75,4.87,44,06-Jan-25,SME,? 28.2 Cr.,Book Value,%,-26.60%,0.00%,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]"
JUBLFOOD,767.05,1.05,44,06-Jan-25,Equity,"? 44,163 Cr.",226,11.60%,12.10%,0.18%,Quick Service Restaurant,Hotels,"Jubilant FoodWorks Limited (JFL/Company) is part of the Jubilant Bhartia Group and is one of the India�s largest food service Company. The Company holds the master franchise rights for two international brands, Domino�s Pizza and Dunkin' Donuts addressing two different food market segments and now has Popeyes in its food segment. The Company also launched its first homegrown brand � Hong�s Kitchen in Chinese cuisine segment."
JUBLINGREA,840,-2.23,66,06-Jan-25,Equity,"? 10,040 Cr.",49.1,7.57%,10.50%,0.79%,Chemicals,Chemicals,"Jubilant Ingrevia, a global integrated Life Science products and Innovative Solutions provider serving, Pharmaceutical, Nutrition, Agrochemical, Consumer and Industrial customers with our customised products and solutions that are innovative, cost-effective and conforming to excellent quality standards."
KALYANIFRG,710.1,-0.76,59,06-Jan-25,Equity,? 205 Cr.,30.1,5.64%,8.85%,0.53%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1979, Kalyani Forge Ltd manufactures high-quality, hot-warm and cold-forged products[1]"
KAUSHALYA,1169.75,-5,44,06-Jan-25,Equity,? 31.7 Cr.,2.92,25.40%,21.70%,0.00%,Hotels & Restaurants,Hotels,"Incorporated in 1992, Kaushalya Infrastructure Development Corporation is in the business of construction contracts for Infrastructure and Hotel[1]"
KIMS,631,0.53,44,06-Jan-25,Equity,"? 23,262 Cr.",90.3,13.40%,16.90%,0.00%,Healthcare,Healthcare,"Krishna Medical Institution Ltd (KIMS) was Incorporated in the year 1973 and is one of the largest corporate healthcare groups in Andhra Pradesh and Telangana in terms of patients treated and treatments offered. The company offers multidisciplinary healthcare services with primary, secondary, and tertiary care across 2-3 tier cities and an additional quaternary healthcare facility in tier-1 cities."
LLOYDSENT,54.8,-4.36,44,06-Jan-25,Equity,"? 5,876 Cr.",314,0.56%,0.73%,0.22%,Trading,Trading,Company core business is trading in Iron & Steel products [1]
LORDSCHLO,195.65,-7.24,44,06-Jan-25,Equity,? 390 Cr.,110,-2.85%,-2.62%,0.00%,Chemicals,Chlor Alkali / Soda Ash,"Incorporated in 1979, Lords Chloro Alkali
Ltd manufactures caustic soda and other chemicals[1]"
MANCREDIT,166,7.49,181,06-Jan-25,Equity,? 315 Cr.,24.2,8.82%,10.30%,0.37%,Finance,Finance & Investments,"Incorporated in 2012, Mangal Credit & Fincorp Ltd provides various type of loans[1]"
NAUKRI,8780.45,-2.72,44,06-Jan-25,Equity,"? 97,000 Cr.",128,4.65%,6.31%,0.29%,E-Commerce/App based Aggregator,Miscellaneous,"Info Edge is India�s premier online classified company with a portfolio of brands. It owns various brands in different fields like naukri.com (online recruitment), 99acres.com (online real estate), jeevansathi.com (online matrimonial) as well as shiksha.com (online education information services). It also acts as an investor and has invested in many start-ups in the online space and is actively growing its investment portfolio."
ORIENTTECH,537.8,2.34,44,06-Jan-25,Equity,"? 1,429 Cr.",27.9,27.30%,34.00%,0.52%,IT - Software,Computers - Software - Medium / Small,"Incorporated in July 1997, Orient Technologies Limited is a rapidly expanding IT solutions provider based in Mumbai, Maharashtra, with deep expertise in creating specialized products and solutions within its business verticals."
OSELDEVICE,340,4.2,44,06-Jan-25,SME,? 410 Cr.,26,69.40%,54.20%,0.00%,Consumer Durables,Electronics - Consumer,"Founded in 2006, Osel Devices Limited manufactures LED display systems and hearing aids.[1]"
PARADEEP,119.6,-0.88,44,06-Jan-25,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
PGEL,993.5,-2.28,46,06-Jan-25,Equity,"? 21,512 Cr.",249,12.00%,15.40%,0.03%,Consumer Durables,Electronics - Components,"PG Electroplast Limited (PGEL) is the flagship company of PG Group. While the PG Group had started its journey in 1977, PG Electroplast was formally set up in 2003 and is a leading, diversified Indian Electronic Manufacturing Services provider. It specializes in Original Design Manufacturing (ODM), Original Equipment Manufacturing (OEM) and Plastic Injection Molding, catering to 50+ leading Indian and Global brands."
PGIL,1529.9,0.74,44,06-Jan-25,Equity,"? 6,531 Cr.",151,6.95%,9.54%,0.62%,Readymade Garments/ Apparells,Textiles - Products,"Pearl Global Industries Ltd. incorporated in 1987. [1] Pearl Global Industries Limited (PGIL) is a garment exporter, manufacturing from multiple sourcing regions within India and countries within South Asia. The product range includes knits, woven, and bottoms across men, women, and kids' wear segments."
PROLIFE,347.95,0.74,44,06-Jan-25,SME,? 99.6 Cr.,13.2,23.90%,30.80%,0.21%,Chemicals,Dyes And Pigments,"Incorporated in 1994, Prolife Industries Ltd manufactures intermediates for dyes, pigments, pharmaceuticals, agrochemicals, etc.[1]"
PTCIL,15500,7.61,221,06-Jan-25,Equity,"? 19,604 Cr.",800,5.22%,7.83%,0.00%,"Castings, Forgings & Fastners",Castings & Forgings,"PTC Industries Limited manufactures metal components for critical and supercritical applications for industries like Defence, Oil & Gas, Liquefied Natural Gas (LNG), Ships & Marine etc. {# https://www.bseindia.com/bseplus/AnnualReport/539006/72682539006.pdf#page.20000"
RNFI,247,-1.98,44,06-Jan-25,SME,? 704 Cr.,77.1,46.90%,41.40%,0.00%,E-Commerce/App based Aggregator,Miscellaneous,"Incorporated in 2015, RNFI Services Ltd is a fintech firm that offers B2B and B2B2C solutions through its online portal and mobile application.[1]"
SHAILY,1471.75,-5,44,06-Jan-25,Equity,"? 7,014 Cr.",133,8.73%,11.00%,0.07%,Plastic products,Plastics Products,"The Company is engaged in the manufacture and sale of injection moulded precision plastic components, sub-assemblies for various requirements of Original Equipment Manufacturers (OEM)."
SHAKTIPUMP,1218,0.02,44,06-Jan-25,Equity,"? 10,159 Cr.",28.2,22.60%,29.50%,0.08%,Capital Goods-Non Electrical Equipment,Pumps,"Shakti Pumps (India) Ltd is primarily engaged in manufacturing of pumps and motors of various kinds. It also offers advanced water pumping solutions to a wide range of applications such as irrigation, horticulture, domestic water supply, commercial and industrial applications.
Its brand ""Shakti"" is well received in the domestic and international markets."
SIDDHIKA,200,-1.04,44,06-Jan-25,SME,? 102 Cr.,15.4,15.70%,22.60%,1.00%,Miscellaneous,Miscellaneous,"Incorporated in 2010, Siddhika Coatings Ltd is in the business of dealing in Oil Paints, Distempers, Cell Paints, Colours, Varnishes, Enamels, etc."
THYROCARE,1007.8,10.2,74,06-Jan-25,Equity,"? 3,833 Cr.",41.2,13.30%,18.20%,2.49%,Healthcare,Healthcare,"Thyrocare Technologies is engaged in the business of healthcare industry and is involved in providing quality diagnostic services at affordable costs to patients, laboratories and hospitals in India."
TRANSRAILL,654.05,2.58,44,06-Jan-25,Equity,"? 7,287 Cr.",31.5,23.80%,35.10%,0.00%,Infrastructure Developers & Operators,Engineering - Turnkey Services,"Incorporated in 2008, Transrail Lighting Ltd
is an integrated transmission & distribution,
and pole manufacturing company"
UNILEX,84.9,-1.11,135,06-Jan-25,SME,? 101 Cr.,16.3,17.90%,18.20%,0.00%,Chemicals,Dyes And Pigments,"Incorporated in March 2001, Unilex Colours and Chemicals Limited manufactures pigments, trades chemicals, and manufactures food colors.[1]"
V2RETAIL,1774.5,2.64,44,06-Jan-25,Equity,"? 5,636 Cr.",82.8,10.40%,10.80%,0.00%,Retail,Textiles - Products,"Company primarily operates in Tier-II and
Tier-III cities, with a chain of �V2 Retail� stores offering apparel and general merchandise,
catering to the entire family."
VISASTEEL,41.27,4.99,44,06-Jan-25,Equity,? 407 Cr.,Book Value,%,-7.08%,0.00%,Ferro Alloys,Mining / Minerals / Metals,"Incorporated in 1996, VISA Steel Ltd does manufacturing of High Carbon Ferro Chrome[1]"
VLEGOV,183,-4.28,44,06-Jan-25,Equity,? 917 Cr.,771,-0.30%,-0.30%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2016, VL E-Governance
& IT Solutions Ltd is in the business of
E-Governance & IT/ITES Business (B2B)"
WELENT,610.75,-4.46,44,06-Jan-25,Equity,"? 6,847 Cr.",23.8,11.60%,15.40%,0.61%,Infrastructure Developers & Operators,Construction,"Welspun Enterprises Limited (WEL) , formerly known as Welspun Projects Ltd., is a part of the USD 2.7 billion Welspun Group. The Company operates in the infrastructure space with investments in oil & gas."
ZOTA,851.8,5.6,54,06-Jan-25,Equity,"? 2,412 Cr.",387,3.13%,4.56%,0.11%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Zota Health Care Limited is a renowned pharmaceutical company that manufactures, markets, and exports pharmaceutical, ayurvedic, nutraceutical, and over-the-counter (OTC) products across boundaries into the semi-regulated and regulated markets of Asian Countries markets of African Countries, Russian Countries & Latin America."
AARTECH,100.38,5,41,07-Jan-25,Equity,? 211 Cr.,45.2,2.05%,5.35%,0.38%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1982, Aartech Solonics Ltd is a manufacturer of Electrical Machinery and Apparatus N.E.C."
ABBOTINDIA,30000,0.16,170,07-Jan-25,Equity,"? 59,159 Cr.",44.3,34.90%,46.00%,1.47%,Pharmaceuticals,Pharmaceuticals - Multinational,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India. It was established in 1944.
AEGISLOG,998,17.93,222,07-Jan-25,Equity,"? 25,175 Cr.",58.6,17.80%,21.60%,0.91%,Trading,Trading,"Aegis Logistics (Formely known as Aegis Chemical Industries Ltd.), incorporated in 1956 provide logistic solutions for oil, gas, chemicals, and petrochemical industries."
AJMERA,1155.9,5.39,61,07-Jan-25,Equity,"? 3,350 Cr.",31.6,11.50%,11.30%,0.47%,Realty,Construction,"Incorporated in 1985, Ajmera Realty and Infra Limited (ARIIL) is in the business of providing residential and rented commercial properties. The company has a presence in the cities like Mumbai, Bengaluru, Ahmedabad in India as well as in foreign countries such as Bahrain and UK"
AMBER,7975,4.05,52,07-Jan-25,Equity,"? 19,676 Cr.",165,2.42%,6.56%,0.00%,Consumer Durables,Electronics - Components,"Amber Enterprises India Ltd incorporated in 1956, has a 23.6% share in the total Room Air Conditioner market [1] and is a prominent solution provider for the Air conditioner OEM/ODM Industry in India."
APARINDS,11670,4.62,41,07-Jan-25,Equity,"? 25,577 Cr.",32.5,28.40%,46.10%,0.80%,Capital Goods - Electrical Equipment,Electric Equipment,"Apar, founded by Mr. Dharmsinh D. Desai in 1958, is a market leader in India with a global presence. Contributing to India�s process of electrification it started from manufacturing power transmission cables to having three broad business segments, which are Conductors, Transformer and specialty oils (TSO), and Power/telecom Cables."
APOLLOHOSP,7430,0.01,100,07-Jan-25,Equity,"? 90,160 Cr.",75,13.40%,15.10%,0.26%,Healthcare,Healthcare,"Apollo Hospitals was established in 1983 by Dr. Prathap C Reddy, renowned architect of modern healthcare in India. As the nation�s first corporate hospital, Apollo Hospitals is acclaimed for pioneering the private healthcare revolution in the country."
ARIHANTSUP,546.65,2.92,41,07-Jan-25,Equity,"? 1,688 Cr.",90.9,11.90%,7.43%,0.29%,Realty,Construction,"Incorporated in 1994, Arihant Superstructures Ltd is in the business of real estate
development[1]"
ATLASCYCLE,93.03,5,41,07-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
AVONMORE,27.32,9.98,41,07-Jan-25,Equity,? 641 Cr.,46.9,-0.07%,2.78%,0.00%,Finance,Finance & Investments,"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans
and advances to corporations, and sub-
broker advisory services"
AVPINFRA,264.3,4.99,41,07-Jan-25,SME,? 495 Cr.,20.8,31.00%,26.30%,0.00%,Infrastructure Developers & Operators,Construction,"Incorporated in 2009, AVP Infracon
Ltd is in the business of construction[1]"
BLUECOAST,21,5,41,07-Jan-25,Equity,? 47.0 Cr.,Book Value,%,-12.60%,0.00%,Hotels & Restaurants,Hotels,"Incorporated in 1992, Blue Coast Hotels
Limited is in the business of Hospitality."
CANTABIL,304.65,6.63,216,07-Jan-25,Equity,"? 2,233 Cr.",32.1,22.30%,18.00%,0.34%,Textiles,Textiles - Products,"Incorporated in 1989, Cantabil Retail India Ltd manufactures and retails readymade garments[1]"
CELLECOR,78,4.98,41,07-Jan-25,SME,"? 1,232 Cr.",52,31.00%,29.20%,0.00%,Retail,Trading,"Incorporated in 2020, Cellecor GadgetsLtd is in the business of selling consumer electronic products[1]"
DGCONTENT,66,0.86,41,07-Jan-25,Equity,? 290 Cr.,Book Value,-30.20%,-1.10%,0.00%,Entertainment,Entertainment / Electronic Media Software,"Incorporated in 2017, Digicontent Ltd is engaged in Entertainment & Digital Innovation Business[1]"
ENSER,178,1.42,41,07-Jan-25,SME,? 268 Cr.,33.2,34.70%,37.50%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2008, Enser Communications Limited offers Business Process Management (BPM) services to companies in the insurance, e-commerce, education, and travel sectors."
ESPRIT,152.2,10.29,41,07-Jan-25,SME,? 260 Cr.,28.9,16.40%,14.80%,0.00%,Mining & Mineral products,Miscellaneous,"Founded in 2016, Esprit Stones Limited manufactures engineered quartz and marble surfaces.[1]"
FSL,406.7,4.02,44,07-Jan-25,Equity,"? 24,916 Cr.",65.1,13.40%,15.00%,1.14%,IT - Software,Computers - Software - Medium / Small,"Firstsource Solutions Limited is a leading player in the Business Process Management (BPM) industry. Part of the RP-Sanjiv Goenka Group, Firstsource provides bespoke services and solutions to its customers across Banking and Financial Services, Healthcare, Communications, Media and Technology, and other diverse industries. The company has the philosophy of 'Digital First, Digital Now'"
GARUDA,144.88,13.89,48,07-Jan-25,Equity,"? 1,008 Cr.",27.7,36.20%,49.20%,0.02%,Construction,Construction,"Incorporated in 2010, Garuda Construction provides end-to-end civil construction for residential, commercial, residential cum
commercial, infrastructure, and industrial projects."
GENESYS,999.9,9.93,75,07-Jan-25,Equity,"? 3,078 Cr.",45.1,8.89%,11.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Genesys International Corporation Ltd is engaged in providing Geographical Information Services comprising of photogrammetry, remote sensing, cartography, data conversion, terrestrial and 3D geo-content including location navigation mapping and other computer based related services."
GOLDIAM,486.05,16.82,61,07-Jan-25,Equity,"? 4,126 Cr.",65.8,21.20%,26.90%,0.52%,"Diamond, Gems and Jewellery",Diamond Cutting / Jewellery,"Incorporated in 1986, Goldiam International Ltd is engaged in the business of manufacturing and exporting gold and diamond jewelry to global retailers. [1]"
INDOFARM,275.49,7.61,,07-Jan-25,Equity,? 923 Cr.,68.2,4.67%,8.39%,0.00%,Automobile,Automobiles - Tractors,"Incorporated in 1994, Indo Farm Equipment Limited is engaging in manufacturing Tractors, Pick & Carry Cranes, and other harvesting equipment.[1]"
